ID,CLIENTE_ID,PACOTE_ID,DATA_COMPRA,DATA_IDA,DATA_VOLTA,VALOR_PAGO,DESCONTO,VALOR_TOTAL,STRIPE_CHARGE_ID,RESERVA_HOTEL,ETICKET_VOO_IDA,ASSENTO_VOO_IDA,ETICKET_VOO_VOLTA,ASSENTO_VOO_VOLTA,EMBARQUE_VOO_IDA,EMBARQUE_VOO_VOLTA,RESERVA_VEICULO
9b5f2da0-aa56-4122-aba4-e12cb3f93afe,ec2e748a-987d-4853-85d4-79ffaaf28b7b,abb66fe6-d806-42d1-80ad-7e56f9aa6d47,2025-03-20,2025-11-11,2025-11-24,2182.1159,0.1,1963.9043,ch_51e669eb770f4db5b2c447c3,RH18beda8e,ETIa15e3ccb48,22-D,ETVb27b63a93a,28-B,2025-11-14 00:00:00,2026-03-28 00:00:00,RVb6137f0c
342c7370-1839-463a-99a8-b856f7f554cc,ec2e748a-987d-4853-85d4-79ffaaf28b7b,cc033755-05ee-45f9-8ae1-d5fde82e3122,2024-05-31,2025-02-24,2025-03-03,1036.5713,0.1,932.9142,ch_1218d8c8b33f4b89986b7dc9,RH63c3b440,ETI51edaf89e1,29-C,ETV1e80b5fb11,25-D,2025-02-16 00:00:00,2024-12-27 00:00:00,RV8b1e2ce2
010d5341-f221-4fd3-b6af-6ee124d8dc5c,ec2e748a-987d-4853-85d4-79ffaaf28b7b,701d2fea-09c2-4a92-ab78-3e36b423e53c,2026-01-17,2026-05-10,2026-05-24,1418.3096,0.12,1248.1124,ch_bdf4ef56a6854da18e1f9fce,RH702dbfe6,ETI7c141f7bc2,38-F,ETV79721bb934,4-D,2026-02-13 00:00:00,2026-05-27 00:00:00,RVd66ea549
f79c7681-1c59-4fa7-9897-29e622a5b093,ec2e748a-987d-4853-85d4-79ffaaf28b7b,73116257-16af-4f98-8bd5-ebdc39a2f2b7,2025-10-10,2025-11-23,2025-11-27,2372.5779,0.1,2135.3201,ch_efa8370d012c41d6ad510e96,RHe7ac09fc,ETI4af5603e2e,15-E,ETV7b1ad392fc,20-E,2025-12-03 00:00:00,2026-10-16 00:00:00,RV2d4a0c92
7c3bc5d6-c1dc-4f0f-9919-745d97f3f872,ec2e748a-987d-4853-85d4-79ffaaf28b7b,d5d264a8-66cf-4eaf-994a-82249074e5cc,2026-06-08,2027-02-26,2027-03-12,1921.2167,0.18,1575.3977,ch_b86164635ee747c4a8741650,RH552a597f,ETI4ebaf064b1,27-D,ETVc83c4403c0,4-F,2027-06-09 00:00:00,2027-03-10 00:00:00,RV68a84165
1faed784-9670-46ce-ae06-d5e854646b4a,ec2e748a-987d-4853-85d4-79ffaaf28b7b,5f75e322-ba0e-4042-86e6-d286d7dcbca8,2025-11-12,2026-10-11,2026-10-21,5599.6311,0.2,4479.7049,ch_c550b14b65bd424b9caa279c,RH8e814aee,ETI96d6d89d19,38-D,ETV6d59933918,32-C,2026-11-17 00:00:00,2026-07-24 00:00:00,RV2de09648
a593bcb3-07a8-45cb-9011-845732b8e3e2,ec2e748a-987d-4853-85d4-79ffaaf28b7b,0d91ce29-8668-4efc-bd60-673c0f15f880,2024-08-08,2025-01-28,2025-02-03,540.7401,0,540.7401,ch_5dc0a228d2124912aae33c60,RH584dfbf2,ETIbfb2d3231d,11-C,ETVedefaeaeed,1-C,2025-07-19 00:00:00,2024-08-22 00:00:00,RV616fda5f
ade45154-05f3-493c-b872-ace500872828,ec2e748a-987d-4853-85d4-79ffaaf28b7b,fb11bd2f-be1b-4b03-9da2-9a5830ba868f,2024-05-23,2024-06-25,2024-07-09,2738.1441,0.12,2409.5668,ch_40a1212a183a4333b2d4548b,RH130ae071,ETIa80cd581b2,39-D,ETVc4afbfa0dc,36-B,2025-01-20 00:00:00,2024-09-09 00:00:00,RV85016e31
0d32fcaf-7a71-45eb-89fe-f674cb0804ea,ec2e748a-987d-4853-85d4-79ffaaf28b7b,657bc1ce-b0d1-4433-9af4-b45b12ee7138,2024-12-13,2025-10-21,2025-10-24,3756.2207,0.05,3568.4097,ch_70f37c33926443c7b6ce7d6b,RH719570df,ETI219cc1afe3,21-C,ETVa301bc6e0f,35-D,2025-06-07 00:00:00,2025-05-03 00:00:00,RVe043a180
d3b13e2a-416f-485a-8641-0f201e929162,ec2e748a-987d-4853-85d4-79ffaaf28b7b,b386ec56-232f-41bf-9f7f-402b643c501c,2024-01-30,2024-10-24,2024-10-26,1383.7511,0.05,1314.5635,ch_8efaafe19948432391900857,RHaa105804,ETI491fed3afe,14-E,ETVd9592d7e47,23-B,2024-05-22 00:00:00,2024-06-17 00:00:00,RV69abd9d8
e4328f38-6c97-424e-b829-5203ef2eadce,ec2e748a-987d-4853-85d4-79ffaaf28b7b,64c3e163-0280-453c-892e-162f8ce111ad,2025-11-19,2026-11-28,2026-12-11,2017.5317,0.25,1513.1488,ch_b4f24e5a138e49f39d3e44fd,RH0f57977f,ETIa6c20a2172,25-C,ETV8c6e8c7232,31-C,2026-11-28 00:00:00,2026-04-01 00:00:00,RV1094fc8e
2d0b8b58-f087-43a7-8cb1-1ea2d35a1b67,ec2e748a-987d-4853-85d4-79ffaaf28b7b,c3ea1496-348b-4554-92c8-496447fd3b6b,2024-02-15,2024-07-21,2024-07-31,712.3251,0.22,555.6136,ch_0679f3b5c349422f908bb018,RH045ce189,ETIe62bc621a2,32-F,ETV932dddcaa2,29-A,2024-09-23 00:00:00,2024-11-04 00:00:00,RV92e13159
49b88571-de0c-49a0-af49-f0dfbddec520,ec2e748a-987d-4853-85d4-79ffaaf28b7b,e9074260-1bc7-4aa8-b304-b1365683045a,2025-04-16,2025-11-28,2025-12-01,788.0097,0.12,693.4485,ch_7681d7b2806b4e3d92b0259c,RH14ac5ed6,ETIae32eea9c1,7-B,ETV3a3449b30c,27-B,2025-12-07 00:00:00,2026-03-06 00:00:00,RV59fc5284
83ec98fb-daf8-4aa6-836f-9d31f3f2fa05,ec2e748a-987d-4853-85d4-79ffaaf28b7b,12e7e53b-93a0-4cfa-9d86-cd95e044b28b,2024-03-19,2024-10-24,2024-11-03,4602.519,0.2,3682.0152,ch_689c23fb839945aa9d443679,RHf10827dd,ETIcbc63d61d8,3-B,ETV7d698a01cb,16-D,2024-07-19 00:00:00,2024-06-03 00:00:00,RV90d0f2d8
951511c3-8ece-40cc-85a4-4fbffd5d6527,ec2e748a-987d-4853-85d4-79ffaaf28b7b,622fae8b-0d68-487e-88dc-698693f79e49,2026-05-10,2026-09-30,2026-10-07,2121.7029,0.2,1697.3623,ch_7e46c7fdbebd40afaf1d71ef,RH7095891b,ETIf6dd7d4efd,7-E,ETV9da0ef2a13,19-E,2027-02-21 00:00:00,2027-06-28 00:00:00,RV207d3cd8
8d5c5c88-abb2-48ab-924d-5067cedeeea6,ec2e748a-987d-4853-85d4-79ffaaf28b7b,aa849c8b-42ca-4ad2-852f-f9c289618b41,2024-07-25,2025-07-25,2025-07-31,4731.5468,0.25,3548.6601,ch_dac38227248b4a4eadac5726,RH2b23cf73,ETI03e1c9a04c,39-D,ETV4face3c279,35-F,2024-12-15 00:00:00,2024-12-22 00:00:00,RV973a2b34
a3f41dc4-a6d7-4f9f-881a-9fb7f5620cb3,ec2e748a-987d-4853-85d4-79ffaaf28b7b,697cfc64-fbec-45d3-931a-0aa37520e901,2024-08-25,2024-09-03,2024-09-06,3804.7684,0.05,3614.53,ch_ad062338af534df5815447b2,RH40e3d152,ETId63f9f687a,12-F,ETV3c956b3eb2,27-B,2024-12-24 00:00:00,2025-01-28 00:00:00,RV9f44528d
facba79e-cdf9-46dd-bdbb-b7a54229e61c,ec2e748a-987d-4853-85d4-79ffaaf28b7b,3ee9bade-2796-4bee-b8be-cf49695356fa,2026-06-19,2027-07-01,2027-07-13,336.7037,0.25,252.5278,ch_11a8659f6bd7487384af461c,RHf9a5dac9,ETI6a6d906b6f,33-D,ETV31f649fd8a,4-A,2027-01-11 00:00:00,2027-05-26 00:00:00,RV43edc9be
27ac758f-4b89-48dd-9610-f5b179185f7b,ec2e748a-987d-4853-85d4-79ffaaf28b7b,1ea051cf-beac-4000-b5aa-4607a49b2c66,2024-10-06,2024-12-06,2024-12-19,3518.6016,0.12,3096.3694,ch_5d4e967b198d474490cd835e,RH4f11939c,ETI6edae32cc2,35-F,ETVac8587a35d,19-B,2025-10-29 00:00:00,2025-02-16 00:00:00,RV05644fa9
1bd3601a-9141-403f-b04b-8f1a24de0ccd,ec2e748a-987d-4853-85d4-79ffaaf28b7b,afcf8fed-7069-4201-ba43-edeb61e0098f,2024-03-07,2024-11-28,2024-12-04,4145.4808,0.12,3648.0231,ch_f334078bd7ef4a1cafa4acd7,RH933460c3,ETId0bd5ebce6,24-F,ETVf8381b17ed,31-C,2025-01-09 00:00:00,2024-06-13 00:00:00,RVdb88cfa1
60896f89-2f5b-4c77-b356-911e611d362b,ec2e748a-987d-4853-85d4-79ffaaf28b7b,23ed6eb2-fef6-43f1-95c7-1ed2a7e28419,2024-05-20,2024-05-28,2024-06-07,3177.6433,0.18,2605.6675,ch_055bb9a78300462dbbb9f387,RHb2aaf2dc,ETI9ceb45c28e,38-F,ETV00793225a5,2-B,2024-12-18 00:00:00,2024-08-18 00:00:00,RV855cea97
2b6e5db1-6c36-4527-98a6-54b89d5b1cfb,ec2e748a-987d-4853-85d4-79ffaaf28b7b,f21b1bb5-17f5-4141-a8d6-f8d2026dafa6,2024-06-30,2025-03-19,2025-03-22,1072.8104,0.12,944.0732,ch_b5a7c9a0a749423687f12082,RH969239c8,ETIcef63bc007,32-E,ETVf5ed031ae5,14-B,2025-07-20 00:00:00,2024-09-16 00:00:00,RVe089e0fc
50bd10a1-8ffb-40a1-80c7-67b8429388b5,ec2e748a-987d-4853-85d4-79ffaaf28b7b,6c440c22-a903-4801-b706-a4036033460e,2026-04-15,2026-08-13,2026-08-27,2492.2578,0.3,1744.5805,ch_caf9a1943d644708980b85ce,RH7736a64c,ETI73006ae015,38-B,ETV48390821d4,32-A,2027-03-06 00:00:00,2026-05-09 00:00:00,RV745c9e8e
23625c65-104d-42b9-beaf-6e1528a3abc0,ec2e748a-987d-4853-85d4-79ffaaf28b7b,521efc2e-c3b1-4fac-ba4e-7aacb7ab415f,2025-06-23,2026-04-25,2026-05-02,3088.4351,0.15,2625.1698,ch_d0fbd91cff864f1c9f2dddf8,RH7fcfcf40,ETIea3b058e51,1-B,ETV0167f45784,36-F,2025-09-24 00:00:00,2026-06-07 00:00:00,RV042f95a2
111c2c31-482d-43b3-9875-539057639a2a,ec2e748a-987d-4853-85d4-79ffaaf28b7b,7c94ec26-9e8d-4cf9-8a10-bbe96ea0a378,2026-06-19,2027-02-28,2027-03-14,5733.9575,0.22,4472.4869,ch_2b146a885cf3482fb598a209,RHc84415e9,ETIc64a6f8da4,35-C,ETVf006c28e88,6-C,2026-09-07 00:00:00,2027-05-05 00:00:00,RV297e6c49
6a5d2c34-f208-4cdc-b8b1-549aca9820f2,ec2e748a-987d-4853-85d4-79ffaaf28b7b,3c698162-fa7f-4318-b600-695fde4bc23b,2025-02-15,2026-02-11,2026-02-16,4983.6689,0.15,4236.1186,ch_6239eeea086c4d3ea65719e6,RHd72101fb,ETI9487639f73,25-A,ETV5bdbcc19dc,14-A,2025-08-05 00:00:00,2026-03-04 00:00:00,RVb51fa80d
c5ddac7c-3b4d-48ac-9371-b3680d4d0699,ec2e748a-987d-4853-85d4-79ffaaf28b7b,2c57eafe-0fa9-4aa7-9b8c-fcaf558fcc93,2026-02-04,2026-06-12,2026-06-19,5218.8875,0.12,4592.621,ch_16b7b7b1a47849a994163106,RH6ef485d8,ETI3c6ee35e3b,17-C,ETV414590aed5,11-C,2026-02-22 00:00:00,2026-08-16 00:00:00,RVfbde887a
0f9996cc-0df6-4433-9088-38be11f121fc,ec2e748a-987d-4853-85d4-79ffaaf28b7b,60eb70e6-3825-4486-a829-ec44fc9d2d43,2025-08-10,2026-05-14,2026-05-16,4474.1888,0.1,4026.7699,ch_7112c7a1c30b4825a155d9f8,RH3e1939cb,ETIdeac58c81c,23-A,ETVc01133b236,32-F,2025-09-20 00:00:00,2025-09-02 00:00:00,RV34b4dec7
0efe6938-b7b0-4e41-a2dc-29256e257ed5,ec2e748a-987d-4853-85d4-79ffaaf28b7b,0610acbd-0359-405d-bc4a-2bda1b31d343,2024-09-04,2024-09-28,2024-09-30,1586.9208,0.18,1301.2751,ch_7cf782909a644c6a92a09654,RHc4c5d97a,ETIa35d67db75,5-A,ETV43fbc599e9,23-F,2025-04-18 00:00:00,2024-11-23 00:00:00,RV6294f3fd
b89a030b-2fc2-4e80-8cab-025c4e968030,ec2e748a-987d-4853-85d4-79ffaaf28b7b,d85b82c1-e5f4-4e3c-ae41-3c9263dd00e0,2026-07-02,2026-10-21,2026-10-30,2780.7151,0.18,2280.1864,ch_414284c7568c4870837602d3,RH8ff6072a,ETI3dd377adb6,20-B,ETV12d12c1bc6,22-F,2027-07-29 00:00:00,2027-02-07 00:00:00,RV167eb393
14e31e76-24c3-4782-99c4-7a0eb79d61f6,866f742d-ebca-46d9-bf31-a92532a2dd16,35ec6833-53be-4f36-9b69-cbd4bd87a6d3,2025-01-26,2025-01-31,2025-02-08,5378.266,0.25,4033.6995,ch_47e739accf4745c3bd3d38f0,RH80ecb85c,ETI975da963ea,35-F,ETV539e4c6f9f,30-A,2025-11-21 00:00:00,2025-04-09 00:00:00,RV414314ec
0d30f4e6-c175-4a2e-8a23-dd6db47adc3f,1914289b-1a28-433b-b472-d22b06f18841,35ec6833-53be-4f36-9b69-cbd4bd87a6d3,2025-02-22,2025-09-10,2025-09-14,317.7277,0.1,285.9549,ch_3e09ab0d57f54cd5b200cc37,RH4f97d4af,ETI27ba149f5d,40-F,ETV6a0a96739a,33-F,2026-02-25 00:00:00,2025-05-19 00:00:00,RVe1c3e076
484391bb-6306-453d-904a-cdce96d930c2,9c33a2f5-bd6f-442d-be44-48ccd5dfe2c2,35ec6833-53be-4f36-9b69-cbd4bd87a6d3,2024-03-22,2024-09-07,2024-09-12,5088.7784,0.1,4579.9006,ch_6bb8e483835349cfab1c1072,RH152ceb9c,ETI24259bebbc,16-A,ETV2651011897,11-F,2025-03-17 00:00:00,2025-01-14 00:00:00,RV354e3c5f
0419e56f-91fe-4c13-8ec0-7f2322521647,b2fd0f46-ac4e-4cb8-8023-f94970a7a678,35ec6833-53be-4f36-9b69-cbd4bd87a6d3,2024-06-21,2025-06-24,2025-06-27,2734.9105,0.3,1914.4373,ch_5018e8b6a32746b2a480ad68,RHc1e8f1ce,ETI04b807cc0a,7-E,ETV01ab901e21,30-F,2024-09-15 00:00:00,2025-05-12 00:00:00,RV4db5cc7a
0a2f205b-4d2d-4b3f-bc0b-6fcd4333cc2f,d86b73f3-f2da-4543-b01b-8beeb3666f86,35ec6833-53be-4f36-9b69-cbd4bd87a6d3,2025-09-08,2025-09-29,2025-10-05,2239.4268,0.2,1791.5414,ch_44bf360ac078474eb31f4ccb,RHd2307082,ETI7e02cd6e49,2-F,ETV3b58bc3a8e,3-D,2025-11-02 00:00:00,2026-03-21 00:00:00,RV0e5af105
fc03188d-988e-429f-b473-76c783f55f36,ba7764b6-1d87-4ae4-95f5-f8e73edc38a6,35ec6833-53be-4f36-9b69-cbd4bd87a6d3,2024-10-26,2025-10-05,2025-10-09,2911.2659,0.25,2183.4494,ch_946bc1b4859842608cad4c82,RHd4a1708a,ETI4499329f3e,23-B,ETV871bdc1e47,26-C,2025-03-23 00:00:00,2025-07-16 00:00:00,RV529684ee
