ID,PACOTE_ID,NOME_HOTEL,EMAIL,TELEFONE,PRECO,ENDERECO_ID,TIPO,ID_PLATAFORMA
6e8df48a-db18-4b8a-b946-04963f693620,0018e0da-d903-4181-862b-0127bae799ea,Hotel das Palmeiras,reservas@hoteldaspalmeiras.com,(11) 98765-4321,450,449a3cc0-2c74-40f3-8fda-2a3840e65c92,HOTEL,379872
2caa5c37-12e6-4023-a24b-c36f1cd1df23,00723f98-a7a7-42cf-ae53-aa2b449c86c6,Pousada do Sossego,contato@pousadadosossego.com.br,(21) 91234-5678,320,11dff553-74a6-4fb3-b0c5-ca6b9fe1aa2c,HOTEL,10544590
ea761725-365f-4457-9833-e6763b68b739,009ce3cb-25bd-4ef5-ba13-391a2817c19e,Resort Solar,info@resortsolar.com.br,(85) 99876-5432,1250,12720a37-33e3-4fa3-966c-a092ad724ef3,HOTEL,11182797
b3ad4191-f1f6-41c1-b3c0-6ad47ff40277,01a762e7-7548-4b6c-8962-2c53dd36cc85,Hotel Estrela do Mar,reservas@hotelelmar.com.br,(71) 96543-2109,670,13187f4e-a746-4793-beb9-0d8a3d9b9fbc,HOTEL,7920324
2d8322d8-17e5-47cd-bb51-2c2a4e4ef413,0263d1fc-b72e-4b18-8d7d-c6cbe8203853,Hotel Serra Azul,contato@hotelserraazul.com,(31) 94321-0987,280,13310ae0-edbc-46f7-97db-62d1ca9fdf81,HOTEL,12596074
21a0fbec-f587-44f3-bd17-c18e56203956,02641de8-d3d7-40a8-86bf-2fb89754aafc,Pousada Recanto Verde,reservas@recantoverde.com,(41) 93456-7890,550,13348c20-0709-4d40-9a93-115ae0c02cb4,HOTEL,3366415
3db19c47-1c09-4206-8ed4-adc26c8051d9,02c5f980-c9b7-4f39-8639-5d62935a7a60,Hotel Vila do Mar,contato@hotelviladomar.com,(48) 92109-8765,890,13664f25-6e26-44a6-bcca-9ec61f82dde7,HOTEL,3112443
f2fa87b4-d134-4a0c-b8ee-ddd9c84968b3,02f2684b-366e-4f8f-8e3f-fa17750a856c,Hotel Pôr do Sol,reservas@hotelpordosol.com.br,(81) 97890-1234,710,137655cc-9ff6-4111-b249-fb1b113cd200,HOTEL,7920324
870047b2-4e71-4d30-8d23-c55f6f9fbba6,0362ceb8-1482-4067-a5d9-1ce936a6eb45,Pousada Nascer do Sol,contato@pousadanascerdosol.com,(51) 95678-9012,390,13b6ddaa-e30d-49fe-a83c-ed4368386b8b,HOTEL,10146399
712427ac-aa72-4730-bd66-18c9d70fbf1d,03a15c95-a61d-4e30-9430-679cb502122a,Hotel Aconchego Mineiro,reservas@hotelaconchego.com,(34) 91098-7654,420,13d245f2-a2bc-4fea-ba4c-1747a9f21555,HOTEL,5338549
579466b4-5341-4952-9c31-566818a01fa4,03a6ce05-141b-4a0c-82a0-0ab0b7320819,Hotel Paraíso Tropical,info@hotelparaiso.com.br,(92) 99876-5432,1500,1402f3be-a5ed-433e-954c-33f66e53a1ac,HOTEL,3534174
4f220c25-fc3d-4287-9dc8-acf8b245d600,051c09b9-9186-453f-b138-08d616112828,Pousada Tranquilidade,contato@pousadatranquilidade.com,(61) 91234-5678,600,141e21d2-810f-49f5-973f-520104be45be,HOTEL,3813059
02ed253e-30c3-4448-a171-1be7fe54dc06,05893f1c-5226-4d51-8985-1bb82478cb22,Hotel Mirante das Águas,reservas@hotelmirante.com.br,(62) 98765-4321,580,1447cfd9-0cf7-49b7-a732-7e1e21ff7c57,HOTEL,946444
530e467a-cb52-42e2-b4f1-09982b31e265,05ee6f52-85be-45e8-b42c-ef15c905f2d3,Hotel Lagoa Azul,contato@hotellagoazul.com,(67) 96543-2109,470,14b26afe-f148-4810-ac0a-69dc8226e513,HOTEL,801247
341cbbcc-1467-44cd-8b81-aa17f79b1a9b,05f39ea2-b9d3-4a94-89c4-b09c84d105e9,Pousada do Cerrado,reservas@pousadadocerrado.com,(65) 94321-0987,350,14cbd242-9ed6-4f71-b82f-13b8a81c988c,HOTEL,1809728
02f9f309-26e8-47bc-9d3e-691b4d2d112c,0610acbd-0359-405d-bc4a-2bda1b31d343,Hotel Pedra Branca,contato@hotelpedrabranca.com,(27) 93456-7890,750,14d0f17c-de6c-49fb-865b-e65e73b65a6f,HOTEL,10263285
e3aeb8a8-e2bc-4bb6-b398-f81f49b8378e,061f5edb-3c9a-47bd-9448-9e65de229e23,Hotel Mar e Areia,reservas@hotelares.com.br,(83) 92109-8765,920,155a9b70-d435-42b3-9b84-ea394454f6f0,HOTEL,1809728
b4af72d2-f043-499e-8744-b17d6a4d493a,06a839a7-39e1-4a75-b23b-a96795e6a8e5,Pousada Sonho Dourado,contato@pousadasonho.com,(84) 97890-1234,680,158f743a-4f08-4a90-8a83-be76a039f5b2,HOTEL,4337318
1cc0028f-ba03-4ef5-a845-b817ed1246d3,0801a7c5-7a75-4987-b312-43f9136f83cc,Hotel Brisa do Mar,reservas@hotelbrisa.com.br,(91) 95678-9012,520,15a45426-1c2f-4550-9ce3-4e423c22930a,HOTEL,13654198
6004b4b7-42c8-40be-8c16-651be65cf819,0839cd7c-6da7-4cb3-bd17-b0626553c957,Hotel Vista Bela,info@hotelvistabela.com,(69) 91098-7654,480,15fc4fa3-1fd0-4403-b5a0-a15a331fff68,HOTEL,10528795
78c9af3b-08aa-4255-b528-909257d10efe,0847bd11-58c1-477c-97cc-19e945bd1b76,Pousada do Rio,contato@pousadadorio.com,(68) 99876-5432,330,15ff3184-2abb-4cb3-8b6f-e26149566b40,HOTEL,2101251
4b008e9c-5261-4bf8-af21-8274b85f62fb,0863a7b1-1930-478e-8b99-7431dbb85747,Hotel Colinas Verdes,reservas@hotelcolinas.com,(95) 91234-5678,410,1629b5d2-761e-47e3-96a2-4db8fc6056f1,HOTEL,12280786
a31e15ba-26b7-444a-8aa4-aefaba4e2c2b,0883a3b8-1ee3-4843-bd1f-33bc0f37b796,Hotel Floresta Viva,contato@hotelfloresta.com,(96) 98765-4321,290,16711bfd-d13d-4657-94c8-42c0724a6569,HOTEL,2152819
335ade75-5a5a-4813-8ab2-bc8a7ddbbe69,08df71d9-86c0-4552-9e15-be09a2ecd885,Hotel Vale dos Ventos,reservas@hotelvaledosventos.com,(79) 96543-2109,650,1674e9e8-6845-4a45-94e1-d541f88b2866,HOTEL,10263285
3e40edd0-6a18-4711-8d32-64c9493b06a6,09c7382f-47b1-4452-834a-dbdc36109f76,Pousada do Sertão,contato@pousadasertao.com,(87) 94321-0987,250,167be31e-bb9c-4d16-8c51-85abb59ec5f7,HOTEL,4905360
