ID,PACOTE_ID,NOME_COMPANHIA,EMAIL,TELEFONE,PRECO,VOO_IDA_NUMERO,VOO_VOLTA_NUMERO,VOO_IDA_HORA,VOO_VOLTA_HORA,TIPO
48bbe9ad-892d-4aaf-a2a6-a193a6ea81c0,0018e0da-d903-4181-862b-0127bae799ea,FlyExpress,contato@flyexpress.com.br,(11) 98765-4321,350,EX1234,EX5678,08:00,10:30,TRANSLADO_AEREO
4fa9965e-9fa2-49a7-9653-d272d28c8415,00723f98-a7a7-42cf-ae53-aa2b449c86c6,Asas Azuis,sac@asasazuis.com,(21) 91234-5678,380,AA5678,AA1234,14:15,16:45,TRANSLADO_AEREO
f68ace75-a60c-47c9-95a4-56e5f988d643,009ce3cb-25bd-4ef5-ba13-391a2817c19e,Voe Rápido,atendimento@voerápido.com.br,(31) 95678-1234,320,VR9876,VR4321,19:00,21:30,TRANSLADO_AEREO
ba56e4c3-0674-495f-a503-8b2e1a52c85d,01a762e7-7548-4b6c-8962-2c53dd36cc85,Horizonte,suporte@horizonte.com.br,(41) 96543-8765,395,HZ1122,HZ3344,06:30,09:00,TRANSLADO_AEREO
47512ebb-d5e8-4649-b93b-11073e95dd7a,0263d1fc-b72e-4b18-8d7d-c6cbe8203853,Aero Brasil,contato@aerobrasil.com,(51) 97890-1234,310,AB7788,AB9900,11:45,14:15,TRANSLADO_AEREO
b311a539-18f9-4bd7-ae93-43b0b92ac7ec,02641de8-d3d7-40a8-86bf-2fb89754aafc,FlyExpress,contato@flyexpress.com.br,(11) 98765-4321,350,EX1234,EX5678,08:00,10:30,TRANSLADO_AEREO
09cc3774-d8d0-4a0a-8bd9-0d845fd6fd03,02c5f980-c9b7-4f39-8639-5d62935a7a60,Asas Azuis,sac@asasazuis.com,(21) 91234-5678,380,AA5678,AA1234,14:15,16:45,TRANSLADO_AEREO
fc29227f-a8a9-40cc-9f17-5a8c26006922,02f2684b-366e-4f8f-8e3f-fa17750a856c,Voe Rápido,atendimento@voerápido.com.br,(31) 95678-1234,320,VR9876,VR4321,19:00,21:30,TRANSLADO_AEREO
967bcdf8-b06e-4cb8-88ac-0c8bc3596f1a,0362ceb8-1482-4067-a5d9-1ce936a6eb45,Horizonte,suporte@horizonte.com.br,(41) 96543-8765,395,HZ1122,HZ3344,06:30,09:00,TRANSLADO_AEREO
c860f13c-f518-42bc-8e37-db72b5ae053b,03a15c95-a61d-4e30-9430-679cb502122a,Aero Brasil,contato@aerobrasil.com,(51) 97890-1234,310,AB7788,AB9900,11:45,14:15,TRANSLADO_AEREO
